segment_id,pvout_annual
STR_001,1153.4599609375
STR_002,1153.4599609375
STR_003,1151.2679443359375
STR_004,1155.2860107421875
STR_005,1155.2860107421875
STR_006,1155.2860107421875
STR_007,1155.2860107421875
STR_008,1155.2860107421875
STR_009,1155.2860107421875
STR_010,1158.93798828125
STR_011,1158.93798828125
STR_012,1158.93798828125
STR_013,1160.0340576171875
STR_014,1160.0340576171875
STR_015,1160.0340576171875
STR_016,1160.0340576171875
STR_017,1161.4949951171875
STR_018,1161.4949951171875
STR_019,1161.4949951171875
STR_020,1161.4949951171875
STR_021,1161.4949951171875
STR_022,1161.4949951171875
STR_023,1161.1300048828125
STR_024,1161.1300048828125
STR_025,1161.1300048828125
STR_026,1161.1300048828125
STR_027,1161.1300048828125
STR_028,1161.1300048828125
STR_029,1161.8599853515625
STR_030,1161.8599853515625
STR_031,1161.8599853515625
STR_032,1161.8599853515625
STR_033,1160.0340576171875
STR_034,1160.0340576171875
STR_035,1160.0340576171875
STR_036,1160.0340576171875
STR_037,1162.2259521484375
STR_038,1156.0159912109375
STR_039,1156.0159912109375
STR_040,1156.0159912109375
STR_041,1156.0159912109375
STR_042,1161.1300048828125
STR_043,1161.1300048828125
STR_044,1161.1300048828125
STR_045,1156.7469482421875
STR_046,1156.7469482421875
STR_047,1159.303955078125
STR_048,1159.303955078125
STR_049,1159.303955078125
STR_050,1161.8599853515625
STR_051,1164.781982421875
STR_052,1164.781982421875
STR_053,1164.781982421875
STR_054,1164.781982421875
STR_055,1164.781982421875
STR_056,1164.781982421875
STR_057,1165.512939453125
STR_058,1165.512939453125
STR_059,1165.512939453125
STR_060,1165.512939453125
STR_061,1165.512939453125
STR_062,1165.512939453125
STR_063,1165.14794921875
STR_064,1165.14794921875
STR_065,1165.14794921875
STR_066,1162.9560546875
STR_067,1162.2259521484375
STR_068,1162.2259521484375
STR_069,1162.2259521484375
STR_070,1162.2259521484375
STR_071,1162.2259521484375
STR_072,1163.68603515625
STR_073,1163.68603515625
STR_074,1163.68603515625
STR_075,1163.68603515625
STR_076,1162.9560546875
STR_077,1162.9560546875
STR_078,1162.9560546875
STR_079,1162.9560546875
STR_080,1163.321044921875
STR_081,1163.321044921875
