segment_id,trains_per_day,trains_per_saturday,trains_per_sunday
STR_001,76,68,36
STR_002,76,68,36
STR_003,76,68,36
STR_004,76,68,36
STR_005,76,68,36
STR_006,76,68,36
STR_007,76,68,36
STR_008,76,68,36
STR_009,76,68,36
STR_010,76,68,36
STR_011,76,68,36
STR_012,76,68,36
STR_013,76,68,36
STR_014,76,68,36
STR_015,76,68,36
STR_016,76,68,36
STR_017,76,68,36
STR_018,76,68,36
STR_019,76,68,36
STR_020,76,68,36
STR_021,76,68,36
STR_022,76,68,36
STR_023,76,68,36
STR_024,76,68,36
STR_025,76,68,36
STR_026,76,68,36
STR_027,76,68,36
STR_028,76,68,36
STR_029,76,68,36
STR_030,76,68,36
STR_031,76,68,36
STR_032,76,68,36
STR_033,76,68,36
STR_034,76,68,36
STR_035,76,68,36
STR_036,76,68,36
STR_037,76,68,36
STR_038,76,68,36
STR_039,76,68,36
STR_040,76,68,36
STR_041,76,68,36
STR_042,76,68,36
STR_043,76,68,36
STR_044,76,68,36
STR_045,76,68,36
STR_046,76,68,36
STR_047,76,68,36
STR_048,76,68,36
STR_049,76,68,36
STR_050,76,68,36
STR_051,76,68,36
STR_052,76,68,36
STR_053,76,68,36
STR_054,76,68,36
STR_055,76,68,36
STR_056,76,68,36
STR_057,76,68,36
STR_058,76,68,36
STR_059,76,68,36
STR_060,76,68,36
STR_061,76,68,36
STR_062,76,68,36
STR_063,76,68,36
STR_064,76,68,36
STR_065,76,68,36
STR_066,76,68,36
STR_067,76,68,36
STR_068,76,68,36
STR_069,76,68,36
STR_070,76,68,36
STR_071,76,68,36
STR_072,76,68,36
STR_073,76,68,36
STR_074,76,68,36
STR_075,76,68,36
STR_076,76,68,36
STR_077,76,68,36
STR_078,76,68,36
STR_079,76,68,36
STR_080,76,68,36
STR_081,76,68,36
