segment_id,score_allinone,rank_allinone,score_penalty,rank_penalty,score_hybrid,rank_hybrid,score_topsis,rank_topsis
STR_001,0.89,29,0.8079,11,0.8079,12,0.7796,12
STR_002,0.8771,32,0.7794,16,0.7794,17,0.7665,14
STR_003,0.1464,80,0.4697,65,0.4526,67,0.4992,58
STR_004,0.7332,54,0.5598,55,0.5598,55,0.581,47
STR_005,0.771,51,0.6029,43,0.6029,44,0.6162,40
STR_006,0.9066,22,0.7888,14,0.7888,16,0.7645,15
STR_007,0.1994,79,0.5248,58,0.5174,58,0.5363,56
STR_008,0.7555,53,0.5988,45,0.5988,46,0.6251,36
STR_009,0.8946,27,0.7296,26,0.7296,27,0.7088,22
STR_010,0.3653,62,0.6008,44,0.6068,43,0.5373,55
STR_011,0.9341,13,0.5808,52,0.5808,52,0.4907,61
STR_012,0.8938,28,0.4201,71,0.4201,71,0.3719,71
STR_013,0.792,47,0.2865,80,0.2865,80,0.2556,81
STR_014,0.9318,14,0.4698,64,0.4698,63,0.4074,67
STR_015,0.8971,25,0.4244,70,0.4244,70,0.3968,69
STR_016,0.8566,35,0.3713,72,0.3713,72,0.387,70
STR_017,0.8888,30,0.4589,67,0.4589,66,0.4238,65
STR_018,0.9294,15,0.7043,28,0.7043,30,0.6458,31
STR_019,0.3354,65,0.6301,40,0.6413,38,0.6166,39
STR_020,0.8007,43,0.6472,36,0.6472,37,0.6504,29
STR_021,0.2513,76,0.5969,46,0.6022,45,0.5773,48
STR_022,0.9537,5,0.87,6,0.87,6,0.8538,6
STR_023,0.8168,41,0.6529,33,0.6529,35,0.6339,35
STR_024,0.2472,77,0.5608,54,0.5598,54,0.5426,53
STR_025,0.8195,39,0.6883,31,0.6883,31,0.6707,25
STR_026,0.3589,63,0.7311,24,0.7601,18,0.7281,18
STR_027,0.8266,38,0.7374,21,0.7374,23,0.7119,21
STR_028,0.3758,59,0.7869,15,0.8258,11,0.7767,13
STR_029,0.3399,64,0.73,25,0.7589,19,0.7238,19
STR_030,0.9272,16,0.871,5,0.871,5,0.8764,4
STR_031,0.3013,69,0.6899,30,0.7116,29,0.6846,23
STR_032,0.8833,31,0.7557,19,0.7557,21,0.7414,17
STR_033,0.2744,72,0.4782,62,0.4626,65,0.4529,63
STR_034,0.7077,56,0.4525,69,0.4525,68,0.498,59
STR_035,0.7905,48,0.5908,47,0.5908,48,0.6188,38
STR_036,0.3266,67,0.6472,35,0.6615,32,0.6456,32
STR_037,0.7138,55,0.5286,57,0.5286,57,0.5562,51
STR_038,0.767,52,0.5827,51,0.5827,51,0.6061,41
STR_039,0.7965,46,0.6311,39,0.6311,40,0.6411,33
STR_040,0.2654,74,0.5906,48,0.5948,47,0.5953,42
STR_041,0.691,57,0.5145,59,0.5145,59,0.5523,52
STR_042,0.9112,21,0.7987,12,0.7987,13,0.7966,11
STR_043,0.3689,60,0.7561,18,0.7895,15,0.7535,16
STR_044,0.2635,75,0.5704,53,0.5711,53,0.5845,46
STR_045,0.8734,33,0.6369,38,0.6369,39,0.6213,37
STR_046,0.1068,81,0.2693,81,0.2168,81,0.2879,76
STR_047,0.9368,11,0.6532,32,0.6532,34,0.5647,49
STR_048,0.7978,45,0.4652,66,0.4652,64,0.434,64
STR_049,0.8282,37,0.5049,60,0.5049,60,0.4538,62
STR_050,0.9177,19,0.6489,34,0.6489,36,0.5863,44
STR_051,0.8597,34,0.6071,42,0.6071,42,0.5644,50
STR_052,0.9379,10,0.733,23,0.733,25,0.6696,26
STR_053,0.3675,61,0.6454,37,0.6593,33,0.589,43
STR_054,0.9267,17,0.8418,8,0.8418,8,0.8195,8
STR_055,0.8998,24,0.8301,10,0.8301,10,0.8092,10
STR_056,0.9134,20,0.8575,7,0.8575,7,0.8228,7
STR_057,0.3028,68,0.7057,27,0.7302,26,0.6394,34
STR_058,0.9411,8,0.9032,4,0.9032,4,0.8725,5
STR_059,0.9526,6,0.909,3,0.909,3,0.8844,3
STR_060,0.9974,1,0.9683,1,0.9683,1,0.9496,1
STR_061,0.8964,26,0.8342,9,0.8342,9,0.8118,9
STR_062,0.9347,12,0.9143,2,0.9143,2,0.8893,2
STR_063,0.2959,70,0.6972,29,0.7203,28,0.6829,24
STR_064,0.9403,9,0.5864,49,0.5864,50,0.4946,60
STR_065,0.393,58,0.4555,68,0.4359,69,0.3667,72
STR_066,0.9233,18,0.479,61,0.479,61,0.4053,68
STR_067,0.8405,36,0.3704,73,0.3704,73,0.3145,73
STR_068,0.2848,71,0.3348,76,0.2939,79,0.278,78
STR_069,0.8189,40,0.3642,74,0.3642,74,0.3111,74
STR_070,0.7866,49,0.3218,77,0.3218,75,0.3037,75
STR_071,0.9043,23,0.4762,63,0.4762,62,0.4141,66
STR_072,0.274,73,0.3417,75,0.302,76,0.2793,77
STR_073,0.7714,50,0.3019,78,0.3019,77,0.2664,80
STR_074,0.8033,42,0.3013,79,0.3013,78,0.2694,79
STR_075,0.9521,7,0.7371,22,0.7371,24,0.6601,27
STR_076,0.3323,66,0.5846,50,0.5878,49,0.5408,54
STR_077,0.9625,4,0.7457,20,0.7457,22,0.6573,28
STR_078,0.977,2,0.7565,17,0.7565,20,0.6502,30
STR_079,0.9699,3,0.7964,13,0.7964,14,0.7183,20
STR_080,0.7985,44,0.6126,41,0.6126,41,0.5862,45
STR_081,0.2329,78,0.5535,56,0.5512,56,0.5237,57
